"alg","N","ub","lb","n","d","seed","totaltime","max_particles","tot_particles","scoretype","am","aw","chi","edgepf"
"gobnilp",300,1,0.25,30,0,80,0.919517,"NULL","NULL","bge",0.1,"NULL",0.5,2
"dnc",300,1,0.25,30,0,81,0.0229999999999997,"1","30","bge",0.1,"NULL",0.5,2
"gobnilp",300,1,0.25,30,0,81,0.76309,"NULL","NULL","bge",0.1,"NULL",0.5,2
"dnc",300,1,0.25,30,0,82,0.0229999999999997,"1","30","bge",0.1,"NULL",0.5,2
"gobnilp",300,1,0.25,30,0,82,0.575737,"NULL","NULL","bge",0.1,"NULL",0.5,2
"dnc",300,1,0.25,30,0,83,0.0229999999999997,"1","30","bge",0.1,"NULL",0.5,2
"gobnilp",300,1,0.25,30,0,83,0.600933,"NULL","NULL","bge",0.1,"NULL",0.5,2
"dnc",300,1,0.25,30,0,84,0.0299999999999994,"1","30","bge",0.1,"NULL",0.5,2
"gobnilp",300,1,0.25,30,0,84,0.574067,"NULL","NULL","bge",0.1,"NULL",0.5,2
"dnc",300,1,0.25,30,0,85,0.0449999999999999,"1","30","bge",0.1,"NULL",0.5,2
"gobnilp",300,1,0.25,30,0,85,0.489424,"NULL","NULL","bge",0.1,"NULL",0.5,2
"dnc",300,1,0.25,30,0,86,0.0200000000000014,"1","30","bge",0.1,"NULL",0.5,2
"gobnilp",300,1,0.25,30,0,86,0.723836,"NULL","NULL","bge",0.1,"NULL",0.5,2
"dnc",300,1,0.25,30,0,87,0.0259999999999998,"1","30","bge",0.1,"NULL",0.5,2
"gobnilp",300,1,0.25,30,0,87,0.686075,"NULL","NULL","bge",0.1,"NULL",0.5,2
"dnc",300,1,0.25,30,0,88,0.0280000000000005,"1","30","bge",0.1,"NULL",0.5,2
"gobnilp",300,1,0.25,30,0,88,0.806305,"NULL","NULL","bge",0.1,"NULL",0.5,2
"dnc",300,1,0.25,30,0,89,0.0250000000000004,"1","30","bge",0.1,"NULL",0.5,2
"gobnilp",300,1,0.25,30,0,89,0.756825,"NULL","NULL","bge",0.1,"NULL",0.5,2
"dnc",300,1,0.25,30,0,90,0.0299999999999994,"1","30","bge",0.1,"NULL",0.5,2
"gobnilp",300,1,0.25,30,0,90,0.99747,"NULL","NULL","bge",0.1,"NULL",0.5,2
"dnc",300,1,0.25,30,0,91,0.0259999999999998,"1","30","bge",0.1,"NULL",0.5,2
"gobnilp",300,1,0.25,30,0,91,0.553716,"NULL","NULL","bge",0.1,"NULL",0.5,2
"dnc",300,1,0.25,30,0,92,0.0259999999999998,"1","30","bge",0.1,"NULL",0.5,2
"gobnilp",300,1,0.25,30,0,92,0.638786,"NULL","NULL","bge",0.1,"NULL",0.5,2
"dnc",300,1,0.25,30,0,93,0.0240000000000009,"1","30","bge",0.1,"NULL",0.5,2
"gobnilp",300,1,0.25,30,0,93,0.651542,"NULL","NULL","bge",0.1,"NULL",0.5,2
"dnc",300,1,0.25,30,0,94,0.0300000000000011,"1","30","bge",0.1,"NULL",0.5,2
"gobnilp",300,1,0.25,30,0,94,0.912938,"NULL","NULL","bge",0.1,"NULL",0.5,2
"dnc",300,1,0.25,30,0,95,0.0259999999999998,"1","30","bge",0.1,"NULL",0.5,2
"gobnilp",300,1,0.25,30,0,95,0.819181,"NULL","NULL","bge",0.1,"NULL",0.5,2
"dnc",300,1,0.25,30,0,96,0.0259999999999998,"1","30","bge",0.1,"NULL",0.5,2
"gobnilp",300,1,0.25,30,0,96,0.763835,"NULL","NULL","bge",0.1,"NULL",0.5,2
"dnc",300,1,0.25,30,0,97,0.0250000000000004,"1","30","bge",0.1,"NULL",0.5,2
"gobnilp",300,1,0.25,30,0,97,0.692791,"NULL","NULL","bge",0.1,"NULL",0.5,2
"dnc",300,1,0.25,30,0,98,0.0250000000000004,"1","30","bge",0.1,"NULL",0.5,2
"gobnilp",300,1,0.25,30,0,98,0.691589,"NULL","NULL","bge",0.1,"NULL",0.5,2
"dnc",300,1,0.25,30,0,99,0.0190000000000001,"1","30","bge",0.1,"NULL",0.5,2
"gobnilp",300,1,0.25,30,0,99,0.46764,"NULL","NULL","bge",0.1,"NULL",0.5,2
"dnc",300,1,0.25,30,0,100,0.027000000000001,"1","30","bge",0.1,"NULL",0.5,2
"gobnilp",300,1,0.25,30,0,100,0.743642,"NULL","NULL","bge",0.1,"NULL",0.5,2
"dnc",300,1,0.25,30,0.5,1,0.0190000000000001,"8","48","bge",0.1,"NULL",0.5,2
"gobnilp",300,1,0.25,30,0.5,1,0.608978,"NULL","NULL","bge",0.1,"NULL",0.5,2
"dnc",300,1,0.25,30,0.5,2,0.0229999999999997,"3","32","bge",0.1,"NULL",0.5,2
"gobnilp",300,1,0.25,30,0.5,2,0.726579,"NULL","NULL","bge",0.1,"NULL",0.5,2
"dnc",300,1,0.25,30,0.5,3,0.0180000000000007,"10","58","bge",0.1,"NULL",0.5,2
"gobnilp",300,1,0.25,30,0.5,3,0.828882,"NULL","NULL","bge",0.1,"NULL",0.5,2
"dnc",300,1,0.25,30,0.5,4,0.0209999999999972,"3","32","bge",0.1,"NULL",0.5,2
"gobnilp",300,1,0.25,30,0.5,4,1.227624,"NULL","NULL","bge",0.1,"NULL",0.5,2
"dnc",300,1,0.25,30,0.5,5,0.0199999999999996,"4","42","bge",0.1,"NULL",0.5,2
"gobnilp",300,1,0.25,30,0.5,5,0.79221,"NULL","NULL","bge",0.1,"NULL",0.5,2
"dnc",300,1,0.25,30,0.5,6,0.0200000000000031,"15","80","bge",0.1,"NULL",0.5,2
"gobnilp",300,1,0.25,30,0.5,6,1.213373,"NULL","NULL","bge",0.1,"NULL",0.5,2
"dnc",300,1,0.25,30,0.5,7,0.0210000000000008,"6","45","bge",0.1,"NULL",0.5,2
"gobnilp",300,1,0.25,30,0.5,7,0.800148,"NULL","NULL","bge",0.1,"NULL",0.5,2
"dnc",300,1,0.25,30,0.5,8,0.0169999999999995,"3","34","bge",0.1,"NULL",0.5,2
"gobnilp",300,1,0.25,30,0.5,8,1.04252,"NULL","NULL","bge",0.1,"NULL",0.5,2
"dnc",300,1,0.25,30,0.5,9,0.020999999999999,"3","36","bge",0.1,"NULL",0.5,2
"gobnilp",300,1,0.25,30,0.5,9,0.982764,"NULL","NULL","bge",0.1,"NULL",0.5,2
"dnc",300,1,0.25,30,0.5,10,0.0189999999999984,"4","43","bge",0.1,"NULL",0.5,2
"gobnilp",300,1,0.25,30,0.5,10,1.047922,"NULL","NULL","bge",0.1,"NULL",0.5,2
"dnc",300,1,0.25,30,0.5,11,0.0190000000000019,"3","40","bge",0.1,"NULL",0.5,2
"gobnilp",300,1,0.25,30,0.5,11,0.993483,"NULL","NULL","bge",0.1,"NULL",0.5,2
"dnc",300,1,0.25,30,0.5,12,0.0210000000000008,"3","32","bge",0.1,"NULL",0.5,2
"gobnilp",300,1,0.25,30,0.5,12,0.589854,"NULL","NULL","bge",0.1,"NULL",0.5,2
"dnc",300,1,0.25,30,0.5,13,0.0240000000000009,"15","111","bge",0.1,"NULL",0.5,2
"gobnilp",300,1,0.25,30,0.5,13,1.288866,"NULL","NULL","bge",0.1,"NULL",0.5,2
"dnc",300,1,0.25,30,0.5,14,0.0229999999999997,"1","30","bge",0.1,"NULL",0.5,2
"gobnilp",300,1,0.25,30,0.5,14,0.877749,"NULL","NULL","bge",0.1,"NULL",0.5,2
"dnc",300,1,0.25,30,0.5,15,0.0190000000000001,"2","32","bge",0.1,"NULL",0.5,2
"gobnilp",300,1,0.25,30,0.5,15,0.718478,"NULL","NULL","bge",0.1,"NULL",0.5,2
"dnc",300,1,0.25,30,0.5,16,0.0189999999999984,"4","40","bge",0.1,"NULL",0.5,2
"gobnilp",300,1,0.25,30,0.5,16,0.766665,"NULL","NULL","bge",0.1,"NULL",0.5,2
